Country;commodity_code;commodity_desc;Sub-commodity;year;value
Austria;62;graphite;;1992;19547
Brazil;62;graphite;;1992;35173
Canada;62;graphite;;1992;21714
China;62;graphite;;1992;600000
Czech Republic;62;graphite;;1992;0
Czechoslovakia;62;graphite;;1992;20000
Germany;62;graphite;;1992;6202
India;62;graphite;;1992;78185
Korea (Rep. of);62;graphite;;1992;8412
Korea, Dem. P.R. of;62;graphite;;1992;38000
Madagascar;62;graphite;;1992;8910
Mexico;62;graphite;;1992;48038
Mozambique;62;graphite;;1992;0
Norway;62;graphite;;1992;7000
Romania;62;graphite;;1992;2300
Russia;62;graphite;;1992;41700
Sri Lanka;62;graphite;;1992;3269
Sweden;62;graphite;;1992;
Tanzania;62;graphite;;1992;0
Turkey;62;graphite;;1992;20978
Ukraine;62;graphite;;1992;26300
Zimbabwe;62;graphite;;1992;12346
Austria;62;graphite;;1993;4146
Brazil;62;graphite;;1993;34800
Canada;62;graphite;;1993;22808
China;62;graphite;;1993;653800
Czech Republic;62;graphite;;1993;27000
Czechoslovakia;62;graphite;;1993;
Germany;62;graphite;;1993;4437
India;62;graphite;;1993;83956
Korea (Rep. of);62;graphite;;1993;5910
Korea, Dem. P.R. of;62;graphite;;1993;38000
Madagascar;62;graphite;;1993;13118
Mexico;62;graphite;;1993;48532
Mozambique;62;graphite;;1993;10
Norway;62;graphite;;1993;6500
Romania;62;graphite;;1993;3162
Russia;62;graphite;;1993;10400
Sri Lanka;62;graphite;;1993;3033
Sweden;62;graphite;;1993;
Tanzania;62;graphite;;1993;0
Turkey;62;graphite;;1993;20000
Ukraine;62;graphite;;1993;10300
Zimbabwe;62;graphite;;1993;7142
Austria;62;graphite;;1994;12324
Brazil;62;graphite;;1994;41003
Canada;62;graphite;;1994;23000
China;62;graphite;;1994;943200
Czech Republic;62;graphite;;1994;25000
Czechoslovakia;62;graphite;;1994;
Germany;62;graphite;;1994;4369
India;62;graphite;;1994;103053
Korea (Rep. of);62;graphite;;1994;4300
Korea, Dem. P.R. of;62;graphite;;1994;38000
Madagascar;62;graphite;;1994;14593
Mexico;62;graphite;;1994;30863
Mozambique;62;graphite;;1994;430
Norway;62;graphite;;1994;5566
Romania;62;graphite;;1994;2335
Russia;62;graphite;;1994;11700
Sri Lanka;62;graphite;;1994;2974
Sweden;62;graphite;;1994;
Tanzania;62;graphite;;1994;0
Turkey;62;graphite;;1994;20000
Ukraine;62;graphite;;1994;6000
Zimbabwe;62;graphite;;1994;7890
Austria;62;graphite;;1995;12019
Brazil;62;graphite;;1995;33590
Canada;62;graphite;;1995;25000
China;62;graphite;;1995;2215100
Czech Republic;62;graphite;;1995;27000
Czechoslovakia;62;graphite;;1995;
Germany;62;graphite;;1995;5214
India;62;graphite;;1995;136263
Korea (Rep. of);62;graphite;;1995;1938
Korea, Dem. P.R. of;62;graphite;;1995;40000
Madagascar;62;graphite;;1995;16119
Mexico;62;graphite;;1995;34388
Mozambique;62;graphite;;1995;3019
Norway;62;graphite;;1995;2558
Romania;62;graphite;;1995;2179
Russia;62;graphite;;1995;13700
Sri Lanka;62;graphite;;1995;4825
Sweden;62;graphite;;1995;0
Tanzania;62;graphite;;1995;359
Turkey;62;graphite;;1995;20000
Ukraine;62;graphite;;1995;8757
Zimbabwe;62;graphite;;1995;11381
Austria;62;graphite;;1996;33122
Brazil;62;graphite;;1996;40466
Canada;62;graphite;;1996;25000
China;62;graphite;;1996;1950000
Czech Republic;62;graphite;;1996;30000
Czechoslovakia;62;graphite;;1996;
Germany;62;graphite;;1996;2603
India;62;graphite;;1996;117761
Korea (Rep. of);62;graphite;;1996;1113
Korea, Dem. P.R. of;62;graphite;;1996;40000
Madagascar;62;graphite;;1996;11295
Mexico;62;graphite;;1996;40412
Mozambique;62;graphite;;1996;3283
Norway;62;graphite;;1996;7065
Romania;62;graphite;;1996;2931
Russia;62;graphite;;1996;13928
Sri Lanka;62;graphite;;1996;5645
Sweden;62;graphite;;1996;500
